neighbourhood_group,neighbourhood
Arganzuela,Acacias
Arganzuela,Atocha
Arganzuela,Chopera
Arganzuela,Delicias
Arganzuela,Imperial
Arganzuela,Legazpi
Arganzuela,Palos de Moguer
Barajas,Aeropuerto
Barajas,Alameda de Osuna
Barajas,Casco Histórico de Barajas
Barajas,Corralejos
Barajas,Timón
Carabanchel,Abrantes
Carabanchel,Buenavista
Carabanchel,Comillas
Carabanchel,Opañel
Carabanchel,Puerta Bonita
Carabanchel,San Isidro
Carabanchel,Vista Alegre
Centro,Cortes
Centro,Embajadores
Centro,Justicia
Centro,Palacio
Centro,Sol
Centro,Universidad
Chamartín,Castilla
Chamartín,Ciudad Jardín
Chamartín,El Viso
Chamartín,Hispanoamérica
Chamartín,Nueva España
Chamartín,Prosperidad
Chamberí,Almagro
Chamberí,Arapiles
Chamberí,Gaztambide
Chamberí,Rios Rosas
Chamberí,Trafalgar
Chamberí,Vallehermoso
Ciudad Lineal,Atalaya
Ciudad Lineal,Colina
Ciudad Lineal,Concepción
Ciudad Lineal,Costillares
Ciudad Lineal,Pueblo Nuevo
Ciudad Lineal,Quintana
Ciudad Lineal,San Juan Bautista
Ciudad Lineal,San Pascual
Ciudad Lineal,Ventas
Fuencarral - El Pardo,El Goloso
Fuencarral - El Pardo,El Pardo
Fuencarral - El Pardo,Fuentelareina
Fuencarral - El Pardo,La Paz
Fuencarral - El Pardo,Mirasierra
Fuencarral - El Pardo,Peñagrande
Fuencarral - El Pardo,Pilar
Fuencarral - El Pardo,Valverde
Hortaleza,Apostol Santiago
Hortaleza,Canillas
Hortaleza,Palomas
Hortaleza,Pinar del Rey
Hortaleza,Piovera
Hortaleza,Valdefuentes
Latina,Aguilas
Latina,Aluche
Latina,Campamento
Latina,Cármenes
Latina,Cuatro Vientos
Latina,Lucero
Latina,Puerta del Angel
Moncloa - Aravaca,Aravaca
Moncloa - Aravaca,Argüelles
Moncloa - Aravaca,Casa de Campo
Moncloa - Aravaca,Ciudad Universitaria
Moncloa - Aravaca,El Plantío
Moncloa - Aravaca,Valdemarín
Moncloa - Aravaca,Valdezarza
Moratalaz,Fontarrón
Moratalaz,Horcajo
Moratalaz,Marroquina
Moratalaz,Media Legua
Moratalaz,Pavones
Moratalaz,Vinateros
Puente de Vallecas,Entrevías
Puente de Vallecas,Numancia
Puente de Vallecas,Palomeras Bajas
Puente de Vallecas,Palomeras Sureste
Puente de Vallecas,Portazgo
Puente de Vallecas,San Diego
Retiro,Adelfas
Retiro,Estrella
Retiro,Ibiza
Retiro,Jerónimos
Retiro,Niño Jesús
Retiro,Pacífico
Salamanca,Castellana
Salamanca,Fuente del Berro
Salamanca,Goya
Salamanca,Guindalera
Salamanca,Lista
Salamanca,Recoletos
San Blas - Canillejas,Amposta
San Blas - Canillejas,Arcos
San Blas - Canillejas,Canillejas
San Blas - Canillejas,Hellín
San Blas - Canillejas,Rejas
San Blas - Canillejas,Rosas
San Blas - Canillejas,Salvador
San Blas - Canillejas,Simancas
Tetuán,Almenara
Tetuán,Bellas Vistas
Tetuán,Berruguete
Tetuán,Castillejos
Tetuán,Cuatro Caminos
Tetuán,Valdeacederas
Usera,Almendrales
Usera,Moscardó
Usera,Orcasitas
Usera,Orcasur
Usera,Pradolongo
Usera,San Fermín
Usera,Zofío
Vicálvaro,Ambroz
Vicálvaro,Casco Histórico de Vicálvaro
Villa de Vallecas,Casco Histórico de Vallecas
Villa de Vallecas,Santa Eugenia
Villaverde,Butarque
Villaverde,Los Angeles
Villaverde,Los Rosales
Villaverde,San Andrés
Villaverde,San Cristobal
